question_sha256,http_status,elapsed_ms,server_elapsed_ms,model,decision,answer_nonempty,upstream_ms,error
194381f04c56e30f856eafb3c2d556abb3c31e94370fe407ad1759c27edf25ab,200,167.8,158,local-kb-complete,local_complete_answer,True,0,
8befe916f4cd435437e82490bd097d110f66091b82a32a5241e35d3daf1aed42,200,128.0,117,local-kb-complete,local_complete_answer,True,0,
386f5fc5a13d143c5a012c154e0f2402c914c39006b1fc1f9b89dde5c344ff9f,200,139.9,133,local-fast-path,dify_answer,True,0,
6bd23c31eb4e6b6c6d32a2493c96c5cc44ba3d0395bca2d1a1559b6a6597f83e,200,176.8,168,local-fast-path,dify_answer,True,0,
6429a6883ec6cc142f9fd5f050fe2ea4a04875dacaba3b4f184546be51d89f8f,200,159.0,148,local-fast-path,dify_answer,True,0,
deb41a39db68d65099671f3e4e66d225b0051e696b53cb116a5c3db2515ada31,200,127.9,120,local-fast-path,dify_answer,True,0,
fd11bec3545c6404655fae26204fdbbd39a0c5c212b46882d9a68f4aa182a1d1,200,125.9,119,local-fast-path,dify_answer,True,0,
20fb0dba0dc8c32a6e86da855984a6bb39679440cec18d7b81f52792a909a11d,200,97.6,91,local-kb-complete,local_complete_answer,True,0,
b688673afb5293eed527fc3e760641bc686d6999e63fcf7724920c90c60e209d,200,115.9,109,local-fast-path,dify_answer,True,0,
a4ca64b6522b0a0b2a0fa2bd425ad4470096f15998b8f125e68e2a7b1cb62e75,200,92.1,85,local-kb-complete,local_complete_answer,True,0,
b79620a92c4d7be003f92aeeefe4e54d0588b4c4cd96dafc86b9e5dca31d5f40,200,108.3,100,local-fast-path,dify_answer,True,0,
3a9d5c4214567c9310cd89d9019cd71291b9be2a9da84066328310d4146ea403,200,131.0,124,local-fast-path,dify_answer,True,0,
aaa363854067a53a6c19e95cd430935a74c851abfe83a33de0ffc5e6569cfd03,200,145.5,135,local-fast-path,dify_answer,True,0,
3f15e58493994b172394e3d3278d1d424524be1028e5956c9a8b5d21d3c11541,200,113.8,103,local-fast-path,dify_answer,True,0,
3a9b94fbad7bbe4c69ce002a2e9ba6b8068451acf303a5a589155a391bab35ee,200,89.6,81,local-kb-complete,local_complete_answer,True,0,
0fe5ca7c07100d273e04a02cc6c2a5f801a3ac36f9d4c22a31af0e19b4e92f16,200,139.7,131,local-kb-complete,local_complete_answer,True,0,
31513dc13baf6898fd6fa2874e35525d641f167f99ac2e173a7a236743712116,200,145.3,137,local-fast-path,dify_answer,True,0,
dc9f79dcff1a3e82011c4efceb8ad69ed9df0e4697fe9c629210d8b3c0cea3e3,200,157.1,150,local-fast-path,dify_answer,True,0,
cf1cf7feedb434c9a74f5b822be3bfb17950b556fad4c64fefd0d32a93236a2e,200,139.0,131,local-fast-path,dify_answer,True,0,
a28fe7779fd5fa46c73ac4cb89dce678349ed83555766b7334532fb8e43e7874,200,144.4,137,local-kb-complete,local_complete_answer,True,0,
6b26b5a46ed4d58287223f002320969772ef61306a6c6369079d1baa14a2a339,200,170.2,161,local-kb-complete,local_complete_answer,True,0,
95f48d1bee62a967eb8ba802c9e2be3f18214959cdfc037b6167aed9e2ccadd9,200,180.9,171,local-kb-complete,local_complete_answer,True,0,
99fc5f8b7eca1ccaef254317af24fbab04faa536d91671f4d1e628e44bc7ed31,200,149.9,142,local-kb-complete,local_complete_answer,True,0,
928565e8da9534a5eaeb33299f3cc2aea467611eef409e99dda243975de3465e,200,153.9,146,local-fast-path,dify_answer,True,0,
e087000d26a5d3c060f7cbd236edfe40ff4112d8fc6e9ec694df715f4bd4a5cc,200,132.4,125,rule-engine,rule_direct_answer,True,0,
eba43907302eea359209a74e0e462930ded991b84dffafd2cd198facf93633c3,200,141.7,134,local-fast-path,dify_answer,True,0,
4e86fc1054cfe247428e39e8b5af078c7cc32f2c679c914adcbb480522673fb4,200,147.0,139,rule-engine,rule_direct_answer,True,0,
