# --- 化学品 批次3 (50) ---
亚铁氰化钾	Potassium Ferrocyanide	低毒	1	黄血盐，毒性极低(CN-牢固配位于铁)。标准操作即可。
醋酸铅	Lead Acetate	致癌;生殖毒性;神经毒性;累积性毒物	4	铅盐，累积性毒物。寻找替代品。含铅废液严格按危废处理。
硫酸亚铁	Ferrous Sulfate	刺激性;低毒	1	补铁剂成分。易氧化为Fe³⁺。标准操作即可。
氯化钴	Cobalt Chloride	致癌;致敏;环境危害	4	钴盐，IARC 2B致癌物。含钴指示剂硅胶推荐替换。
硝酸钴	Cobalt Nitrate	氧化剂;致癌;刺激性	4	氧化性钴盐。双重危险：氧化剂+致癌。
氯化锰	Manganese Chloride	刺激性;神经毒性(长期吸入)	2	锰盐，慢性锰中毒影响神经系统。避免粉尘吸入。
二氧化锰	MnO2	氧化剂;粉尘;刺激性	2	棕色氧化剂。避免粉尘吸入(锰肺)。
钼酸铵	Ammonium Molybdate	刺激性;有毒	2	分析试剂。标准实验室操作。
磷酸	Phosphoric Acid	腐蚀性;刺激性	2	中等强酸，高温分解产有毒磷氧化物。加热时在通风柜操作。
草酸	Oxalic Acid	有毒;腐蚀性(粉尘);与钙结合	3	还原性二元酸，摄入有毒(与血钙结合致低钙血症)。戴手套称量。
酒石酸	Tartaric Acid	刺激性;低毒	1	天然有机酸。标准操作。
柠檬酸	Citric Acid	刺激性;低毒	1	食品级酸。标准操作即可。
苯甲酸	Benzoic Acid	刺激性;粉尘;可燃	2	有机酸，可燃。标准操作。
水杨酸	Salicylic Acid	刺激性;有毒(高剂量)	2	阿司匹林前体。避免粉尘吸入。
乙酰水杨酸	Aspirin	刺激性;低毒	1	阿司匹林。标准操作。
对氨基苯甲酸	PABA	刺激性;光敏	2	防晒剂成分。某些人致敏。
苯胺	Aniline	有毒;经皮吸收;致癌;高铁血红蛋白血症	5	芳香胺，可经完整皮肤吸收致高铁血红蛋白血症(血呈巧克力色)。严格手套箱或通风柜操作。
硝基苯	Nitrobenzene	有毒;经皮吸收;致癌;高铁血红蛋白血症	5	芳香硝基化合物，毒性类似苯胺。皮肤吸收。通风柜操作。
环己酮	Cyclohexanone	易燃;刺激性;过氧化物形成	3	酮类溶剂，可形成过氧化物。可燃。
苯乙酮	Acetophenone	易燃;刺激性	2	芳香酮。标准操作。
二苯甲酮	Benzophenone	刺激性;光敏	2	光引发剂。UV暴露时注意。
三氯乙酸	TCA	腐蚀性;有毒;蛋白沉淀	3	强有机酸，用于蛋白沉淀。戴防化手套。
# --- 设备 (20) ---
CO2培养箱	生物培养设备	微生物污染;CO2泄漏;过热	2	CO2培养箱需定期清洁消毒内壁。CO2浓度传感器定期校准。水盘加无菌水和适当消毒剂。
厌氧培养箱	生物培养设备	厌氧环境;可燃气体(H2/N2混合气);微生物	3	厌氧混合气(通常5%H2+10%CO2+85%N2)含可燃氢气。保证气密性，附近无明火和火花。
电转化仪	分子生物学设备	高压电击(2.5kV+);电弧	3	电穿孔仪电容放电高压。确认电转杯内外干燥(液体造成电弧)。不得用手指接触电极。
基因枪	生物轰击设备	高压气体;微弹射;噪声	3	高压氦气加速金属微粒。枪口不对人。操作时戴护目镜。
显微注射仪	生物操作设备	针头刺伤;微量液体注射	2	显微注射针极细(尖端<1um)。破损针头入锐器盒。含DNA/RNA样品不特别危险。
毛细管电泳仪	分析设备	高压电击;毛细管碎片;有机溶剂	2	毛细管细且锋利(碎片锐器)。高压电源(可达30kV)。缓冲液通常无毒。
等温滴定量热仪	分析设备	化学品;低温	1	精密热分析仪器。使用洁净样品。定期清洁样品池。
动态光散射仪	分析设备	激光;低温	1	含Class 3B激光(通常633nm)。不拆机壳(激光封闭于机壳内)。
X射线荧光光谱仪	分析设备	X射线;电离辐射;高压	3	X射线管产生电离辐射。安全联锁门在开启时自动关闭X射线。佩戴个人剂量计。定期泄漏检测。
电感耦合等离子体质谱仪	分析设备	高温等离子体(8000K);有毒气体;高压	3	ICP-MS产生高温氩等离子体。排风必须正常。样品可能含危险化学品(消解后的重金属溶液等)。
离子色谱仪	分析设备	高压泵;酸碱淋洗液;电导检测	2	淋洗液含Na2CO3/NaHCO3或甲磺酸等。废液按酸碱和有机溶剂分类收集。
凝胶渗透色谱仪	分析设备	高压泵;有机溶剂(THF/DMF/甲苯);可燃	3	GPC流动相含THF/DMF等有毒可燃溶剂。废液收集和通风橱排风。
热重分析仪	分析设备	高温(1000°C+);有毒分解气体	3	TGA升温产生样品热分解气体。必须连接排风或质谱/红外检测气体成分。
差示扫描量热仪	分析设备	高温;高压坩埚;样品反应	2	DSC坩埚可能产生高压(密封坩埚)。了解样品热行为(分解温度)。
元素分析仪	分析设备	高温燃烧(950°C+);氧气;还原气体	3	CHNS/O元素分析需纯氧和氦气。燃烧管高温。气瓶固定和检漏。
电位滴定仪	分析设备	电极破损;滴定剂(酸/碱/氧化剂);电气	2	自动滴定。玻璃电极易碎。滴定剂按相应化学品管理。
旋转流变仪	分析设备	机械旋转;样品飞溅	1	旋转式测量。样品通常无毒(聚合物熔体/溶液)。标准操作即可。
比表面及孔隙度分析仪	分析设备	液氮;高真空;高压气体吸附	3	BET测试需液氮和N2/Ar气体。真空系统和气瓶管理。液氮防冻伤。
Zeta电位及粒度分析仪	分析设备	激光;液体样品	1	含激光(Class 3B)。机壳封闭激光。电泳模式含电场。
纳米粒度仪	分析设备	激光;液体样品	1	动态光散射原理。激光封闭于检测器中。标准操作。
# --- 场景/制度 (10) ---
实验室新成员入职安全培训	培训制度	培训不足;不熟悉风险;事故风险	3	新成员(研究生/博士后/访问学者)入职前必修实验室安全培训(至少包括：实验室基本安全规则/化学品SDS系统/通风橱和BSC使用/应急喷淋和洗眼器/灭火器位置和使用/逃生路线/废物分类)。培训须有记录(签到表和考核)。未经安全培训不得独立操作实验。
实验室安全数据表(SDS)信息管理	信息管理	信息缺失;急救错误;应急处置错误	3	每个使用化学品的实验室必须维护SDS库：纸质版(放于SDS文件夹，触手可及)或电子版(云端可共享)。每个在实验室工作的人员必须知道SDS文件夹位置。新化学品进入实验室前必须先获取SDS。SDS保持最新版本(修订日期)。
实验室安全标识(GHS标签)解读	标签管理	误判危害;错误操作;应急处置不当	2	GHS象形图9种：爆炸弹(爆炸物)、火焰(易燃)、火焰上方圆圈(氧化剂)、气瓶(压缩气体)、腐蚀品、骷髅交叉骨(急性毒性)、感叹号(健康危害/刺激性)、健康危害(致癌/呼吸致敏/生殖毒性/靶向器官毒性)、环境危害(水生生态毒性)。H和P声明(如H225高易燃液体和蒸气;P210远离热源/火花/明火/热表面——禁止吸烟)。操作任何新化学品前必须识别其GHS象形图。
实验室化学试剂生命周期管理	库存管理	过期化学品;积压;未知危险性;储存空间不足	2	化学试剂生命周期管理原则：1) 采购前评估需求(是否已有？能否借用？能否用更安全的替代品？);2) 最小化采购量(只买可6个月内用完的量);3) 接收时标注接收日期;4) 库存清单定期审查(至少每年一次)——处理过期/不再使用的化学品;5) 处置按危废流程。控制化学品库存总量在合理范围(每个通风橱下方不是化学品仓库)。
实验室化学品5S管理	现场管理	混乱;误取;泄漏;交叉污染	2	5S管理法应用于实验室：整理(清除不必要的化学品/设备/瓶子)、整顿(所有物品有固定位置和标识)、清扫(保持台面地面清洁干爽)、清洁(标准化清洁程序)、素养(养成习惯)。5S不仅是整洁——它是安全的基础。杂乱的实验室无法保证化学品标签清晰、应急设备(洗眼器/灭火器/逃生通道)可快速到达。
实验室通风系统节能与安全平衡	通风管理	通风不足;能耗浪费;化学品暴露	3	通风系统能耗占实验室总能耗40-60%。节能措施：通风橱前窗不用时拉至最低(面风速恒定时降低前窗开口减少一半以上排风量,大幅节能);使用变风量(VAV)通风系统;夜间/周末降低换气次数(但要维持负压)。安全底线：不可为节能关闭通风系统或使负压反转。能调节的前提是不损害安全。
实验室高压钢瓶余压安全	气体安全	钢瓶污染;倒吸;阀门损坏	3	钢瓶气体使用后必须保留至少0.2MPa(约30psi/2bar)的余压——防止空气或水分进入钢瓶内部造成污染/腐蚀/与瓶内气体形成爆炸性混合物。完全放空后大气进入,重新充气时有潜在风险。空瓶和低余压瓶标记区分存放,及时联系气体供应商回收。
实验室紧急联络与通讯计划	应急通讯	信息不畅;响应延迟;通知失败	2	实验室紧急通讯计划包括：1) 所有人员手机号录入实验室联系树(纸质版+电子版);2) 实验室门上张贴24小时紧急联系人(含手机号);3) 重大事故通知链(PI-系主任-学院安全委员-校安全保卫处-校长办公室);4) 定期测试通讯流程(每半年);5) 夜间/周末/假期的通讯路径。
实验室安全检查闭环整改	安全制度	检查走形式;发现问题不整改;整改无验收	2	安全检查发现问题后的闭环流程：发现隐患-拍照记录-描述问题和风险等级-指定整改责任人-设定整改期限-整改后拍照-验收确认-归档。重大隐患(如通风系统故障/缺少洗眼器)必须限期整改(通常1周内)。未整改项持续跟踪直至完成。检查不是目的——消除隐患才是目的。
实验室应急预案编制指南	应急预案	预案缺失;预案不可行;缺乏演练	3	每个实验室应编制专属应急预案(非通用模板)，至少包括：a) 本实验室特定危险源清单及每种危险的应急处置步骤;b) 本楼层的逃生路线和集合点;c) 本实验室应急设备位置图(灭火器/洗眼器/急救包/断电开关/AED);d) 人员分工(谁负责报警、谁负责协助受伤者、谁负责清点人数);e) 年度演练计划。预案须经PI审核、全员培训、每学年修订更新。
