id,title,old_url,new_url,old_source_title,new_source_title,old_source_org,new_source_org,reason
KB-RECO-0339,GB 19489-2008：BSL-2实验室设施和设备要求,https://kjt.hubei.gov.cn/sydw/portal/kjdt/detail?id=2ac1a9c1-aafb-48ca-8b20-3b5b98ec4e6d,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008 实验室生物安全通用要求,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局(SAMR),国家标准全文公开系统,Replaced provincial mirror returning HTTP 412 with the official national standard full-text disclosure page.
KB-RECO-0340,GB 19489-2008：BSL-3实验室核心要求,https://kjt.hubei.gov.cn/sydw/portal/kjdt/detail?id=2ac1a9c1-aafb-48ca-8b20-3b5b98ec4e6d,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008 实验室生物安全通用要求,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局(SAMR),国家标准全文公开系统,Replaced provincial mirror returning HTTP 412 with the official national standard full-text disclosure page.
KB-RECO-0341,GB 19489-2008：人员管理与培训要求,https://kjt.hubei.gov.cn/sydw/portal/kjdt/detail?id=2ac1a9c1-aafb-48ca-8b20-3b5b98ec4e6d,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008 实验室生物安全通用要求,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局(SAMR),国家标准全文公开系统,Replaced provincial mirror returning HTTP 412 with the official national standard full-text disclosure page.
KB-RECO-0342,GB 19489-2008：废物处置要求,https://kjt.hubei.gov.cn/sydw/portal/kjdt/detail?id=2ac1a9c1-aafb-48ca-8b20-3b5b98ec4e6d,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008 实验室生物安全通用要求,GB 19489-2008 实验室生物安全通用要求,国家市场监督管理总局(SAMR),国家标准全文公开系统,Replaced provincial mirror returning HTTP 412 with the official national standard full-text disclosure page.
KB-RECO-0391,微波消解仪与家用微波炉安全对比,https://cem.com/why-can-t-i-use-a-home-microwave-for-acid-digestion,https://cem.com/why-can-t-i-use-a-home-microwave-for-acid-digestion-or-extraction,Why can't I use a home microwave for acid digestion,Why can't I use a home microwave for acid digestion,CEM Corporation,CEM Corporation,CEM article slug changed.
KB-RECO-0417,化学品眼睛接触暴露急救处理,http://www.osha.gov/laws-regs/standardinterpretations/2009-06-01,https://www.osha.gov/laws-regs/standardinterpretations/2009-06-01,OSHA Requirements for Eyewash and Shower Facilities,OSHA Requirements for Eyewash and Shower Facilities,OSHA (Occupational Safety and Health Administration),OSHA (Occupational Safety and Health Administration),OSHA canonical HTTPS URL.
KB-RECO-0422,丁基橡胶手套化学防护特性与适用场景,http://www.osha.gov/training/library/personal-protective-equipment/assessment,https://www.osha.gov/training/library/personal-protective-equipment/assessment,Personal Protective Equipment - Chemical and Liquid-Resistant Gloves,Personal Protective Equipment - Chemical and Liquid-Resistant Gloves,OSHA (Occupational Safety and Health Administration),OSHA (Occupational Safety and Health Administration),OSHA canonical HTTPS URL.
KB-RECO-0423,丁腈手套对各类化学品的渗透防护与局限性,http://www.osha.gov/training/library/personal-protective-equipment/assessment,https://www.osha.gov/training/library/personal-protective-equipment/assessment,Personal Protective Equipment (PPE) Assessment,Personal Protective Equipment (PPE) Assessment,OSHA (Occupational Safety and Health Administration),OSHA (Occupational Safety and Health Administration),OSHA canonical HTTPS URL.
KB-RECO-0427,实验室紧急安全淋浴与洗眼器安装维护要求,http://www.osha.gov/laws-regs/standardinterpretations/2009-06-01,https://www.osha.gov/laws-regs/standardinterpretations/2009-06-01,OSHA Requirements for Eyewash and Shower Facilities,OSHA Requirements for Eyewash and Shower Facilities,OSHA (Occupational Safety and Health Administration),OSHA (Occupational Safety and Health Administration),OSHA canonical HTTPS URL.
KB-PHASE4-0390,GHS标签六大必需要素,http://www.osha.gov/hazcom/appendix-c,https://www.osha.gov/hazcom/appendix-c,OSHA Hazard Communication Standard - Appendix C,OSHA Hazard Communication Standard - Appendix C,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0391,GHS信号词Danger与Warning的使用区别,http://www.osha.gov/hazcom/appendix-c,https://www.osha.gov/hazcom/appendix-c,OSHA Hazard Communication Standard Appendix C,OSHA Hazard Communication Standard Appendix C,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0396,GHS骷髅交叉骨象形图：急性毒性(剧毒),http://www.osha.gov/hazcom/appendix-c,https://www.osha.gov/hazcom/appendix-c,OSHA Hazard Communication Standard Appendix C,OSHA Hazard Communication Standard Appendix C,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0397,GHS健康危害象形图：致癌/致突变/生殖毒性/吸入危害,http://www.osha.gov/hazcom/appendix-c,https://www.osha.gov/hazcom/appendix-c,OSHA Hazard Communication Standard Appendix C,OSHA Hazard Communication Standard Appendix C,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0398,GHS危害声明(H语句)标准代码体系,http://www.osha.gov/hazcom/appendix-c,https://www.osha.gov/hazcom/appendix-c,OSHA Hazard Communication Standard Appendix C,OSHA Hazard Communication Standard Appendix C,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0399,GHS防范说明(P语句)四类标准化内容,http://www.osha.gov/hazcom/appendix-c,https://www.osha.gov/hazcom/appendix-c,OSHA Hazard Communication Standard Appendix C,OSHA Hazard Communication Standard Appendix C,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0403,自燃气体与简单窒息剂特殊标签要素,http://www.osha.gov/hazcom/appendix-c,https://www.osha.gov/hazcom/appendix-c,OSHA Hazard Communication Standard Appendix C.4.30,OSHA Hazard Communication Standard Appendix C.4.30,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0454,Thermo iCAP 7000系列ICP-OES光谱仪安全规程,https://knowledge1.thermofisher.com/@api/deki/files/29093/Ver_1.02_-_iCAP_7000_Reference_Guide.pdf,https://knowledge1.thermofisher.com/Trace_Elemental_Analysis/Inductively_Coupled_Plasma_-_Optical_Emission_Spectroscopy_ICP-OES/iCAP_Operator_Manuals/BRE0004150_-_iCAP_7000_Series_Operating_Manual_Rev_C,iCAP 7000 Series ICP-OES Spectrometer Reference Guide,BRE0004150 - iCAP 7000 Series Operating Manual Rev C,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher file API timed out in automated audit; replaced with the official Thermo Fisher Knowledge article for the same iCAP 7000 operating manual.
KB-PHASE4-0455,ICP-OES蠕动泵和样品引入系统安全操作,https://knowledge1.thermofisher.com/@api/deki/files/29093/Ver_1.02_-_iCAP_7000_Reference_Guide.pdf,https://knowledge1.thermofisher.com/Trace_Elemental_Analysis/Inductively_Coupled_Plasma_-_Optical_Emission_Spectroscopy_ICP-OES/iCAP_Operator_Manuals/BRE0004150_-_iCAP_7000_Series_Operating_Manual_Rev_C,iCAP 7000 Series ICP-OES Safety - Peristaltic Pump,BRE0004150 - iCAP 7000 Series Operating Manual Rev C,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher file API timed out in automated audit; replaced with the official Thermo Fisher Knowledge article for the same iCAP 7000 operating manual.
KB-PHASE4-0456,ICP-OES射频(RF)发生器安全与维护,https://knowledge1.thermofisher.com/@api/deki/files/29093/Ver_1.02_-_iCAP_7000_Reference_Guide.pdf,https://knowledge1.thermofisher.com/Trace_Elemental_Analysis/Inductively_Coupled_Plasma_-_Optical_Emission_Spectroscopy_ICP-OES/iCAP_Operator_Manuals/BRE0004150_-_iCAP_7000_Series_Operating_Manual_Rev_C,iCAP 7000 Series ICP-OES Reference Guide - RF Safety,BRE0004150 - iCAP 7000 Series Operating Manual Rev C,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher file API timed out in automated audit; replaced with the official Thermo Fisher Knowledge article for the same iCAP 7000 operating manual.
KB-PHASE4-0458,PerkinElmer NexION 5000 ICP-MS实验室准备安全指南,https://www.perkinelmer.com/libraries/gde-nexion-5000-icp-ms-preparing-your-lab.html,https://www.perkinelmer.com/Nexion-5000-Other-resources,NexION 5000 ICP-MS Preparing Your Lab - PerkinElmer,NexION 5000 ICP-MS Preparing Your Lab - PerkinElmer,PerkinElmer Inc.,PerkinElmer Inc.,PerkinElmer NexION 5000 guide URL moved to the current resources page.
KB-PHASE4-0461,ICP-OES/ICP-MS有毒气体排放与实验室通风要求,https://knowledge1.thermofisher.com/@api/deki/files/29093/Ver_1.02_-_iCAP_7000_Reference_Guide.pdf,https://knowledge1.thermofisher.com/Trace_Elemental_Analysis/Inductively_Coupled_Plasma_-_Optical_Emission_Spectroscopy_ICP-OES/iCAP_Operator_Manuals/BRE0004150_-_iCAP_7000_Series_Operating_Manual_Rev_C,iCAP 7000 Series ICP-OES Safety - Exhaust Requirements,BRE0004150 - iCAP 7000 Series Operating Manual Rev C,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher file API timed out in automated audit; replaced with the official Thermo Fisher Knowledge article for the same iCAP 7000 operating manual.
KB-PHASE4-0462,Shimadzu AA-7000原子吸收光谱仪安全功能,https://www.shimadzu.com/an/products/elemental-analysis/atomic-absorption-spectroscopy/aa-7000/index.html,https://www.shimadzu.com.sg/an/products/elemental-analysis/atomic-absorption-spectroscopy/aa-7000/index.html,Shimadzu AA-7000 Atomic Absorption Spectrophotometer,Shimadzu AA-7000 Atomic Absorption Spectrophotometer,Shimadzu Corporation,Shimadzu Corporation,Shimadzu global product URL moved; Asia Pacific official page carries the AA-7000 safety section.
KB-PHASE4-0466,原子吸收乙炔-空气火焰安全操作要点,https://www.shimadzu.com/an/products/elemental-analysis/atomic-absorption-spectroscopy/aa-7000/index.html,https://www.shimadzu.com.sg/an/products/elemental-analysis/atomic-absorption-spectroscopy/aa-7000/index.html,Shimadzu AA-7000 Safety Technology - Flame Operation,Shimadzu AA-7000 Safety Technology - Flame Operation,Shimadzu Corporation,Shimadzu Corporation,Shimadzu global product URL moved; Asia Pacific official page carries the AA-7000 safety section.
KB-PHASE4-0483,ICP-OES炬管中心管清洁与更换安全操作,https://knowledge1.thermofisher.com/@api/deki/files/29093/Ver_1.02_-_iCAP_7000_Reference_Guide.pdf,https://knowledge1.thermofisher.com/Trace_Elemental_Analysis/Inductively_Coupled_Plasma_-_Optical_Emission_Spectroscopy_ICP-OES/iCAP_Operator_Manuals/BRE0004150_-_iCAP_7000_Series_Operating_Manual_Rev_C,iCAP 7000 Series ICP-OES Reference Guide - Torch Maintenance,BRE0004150 - iCAP 7000 Series Operating Manual Rev C,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher file API timed out in automated audit; replaced with the official Thermo Fisher Knowledge article for the same iCAP 7000 operating manual.
KB-PHASE4-0511,Bruker NMR磁体间氧气消耗监测系统安装要求,https://www.okonrecycling.com/specialty-equipment-recycling/other-equipments/safe-spectrometer-magnet-disposal/,https://www.weizmann.ac.il/ChemicalResearchSupport/sites/ChemicalResearchSupport/files/bruker_magnet_safety_0.pdf,NMR Safety Plan - Cryogen hazards,Magnet Safety Notes,Okon Recycling / Bruker Safety Guidelines,Bruker / Spectrospin,Dead third-party NMR magnet disposal article replaced with Bruker/Spectrospin NMR magnet safety notes PDF.
KB-PHASE4-0547,TGA手套箱内空气敏感样品安全操作,https://www.mt.com/cn/zh/home/supportive_content/matchar_apps/MatChar_UC345.html,https://www.tainstruments.com/applications-notes/thermogravimetry-of-air-sensitive-materials/,Analysis of Air Sensitive Substances by TGA,Thermogravimetry of Air Sensitive Materials,METTLER TOLEDO,TA Instruments,METTLER TOLEDO regional article URL returned HTTP 406; replaced with an open TGA air-sensitive sample glovebox application note.
KB-PHASE4-0550,Thermo FTIR液氮冷却MCT探测器安全替代方案,https://www.thermofisher.com/blog/materials/a-safer-smarter-alternative-for-ftir-spectroscopy-exploring-thermoelectrically-cooled-mct-detectors/,https://documents.thermofisher.com/TFS-Assets/CAD/Application-Notes/apex-te-mct-an64724-en.pdf,Exploring Thermoelectrically Cooled MCT Detectors,Thermoelectrically cooled MCT detectors enable high speed and high sensitivity FTIR gas analysis,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher blog returned HTTP 404 to automated audit; replaced with an official Thermo Fisher TEC-MCT detector application note PDF.
KB-PHASE4-0553,Renishaw inVia拉曼显微镜激光安全分类,https://www.renishaw.com/resourcecentre/download?data=115688&lang=en&userLanguage=en,https://www.birmingham.ac.uk/documents/college-eps/chemical/science-city/brochure-br010en-03-a-invia-confocal-raman-microscope-1.pdf,inVia InSpect confocal Raman microscope - Laser Safety,inVia research-grade confocal Raman microscopes brochure,Renishaw,Renishaw brochure mirror hosted by University of Birmingham,Renishaw resourcecentre download returned HTTP 404; replaced with an accessible Renishaw inVia brochure mirror that includes the laser safety classification text.
KB-PHASE4-0555,FTIR烟雾毒性分析有害气体安全监测,https://www.thermofisher.com/blog/materials/analysis-of-smoke-toxicity-using-ftir-spectroscopy-webinar/,https://documents.thermofisher.com/TFS-Assets/MSD/Technical-Notes/FL53370-gas-phase-ftir-smoke-toxicity-measurements.pdf,Analysis of Smoke Toxicity Using FTIR Spectroscopy,Gas-phase FTIR for smoke toxicity measurements,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher smoke-toxicity webinar URL returned HTTP 404 to automated audit; replaced with the official Thermo Fisher gas-phase FTIR smoke toxicity technical note PDF.
KB-PHASE4-0558,Metrohm 930离子色谱仪高压与化学安全,https://products.metrohm.com/eps/930-compact-ic-flex-6132,https://www.metrohm.com/content/dam/metrohm/shared/documents/manuals/89/89308001EN.pdf,930 Compact IC Flex - Safety instructions,930 Compact IC Flex Manual,Metrohm,Metrohm,Metrohm products subdomain has a certificate hostname mismatch; replaced with the official Metrohm 930 Compact IC Flex manual PDF path.
KB-PHASE4-0559,Metrohm IC淋洗液预处理粉尘与腐蚀防护,https://products.metrohm.com/eps/930-compact-ic-flex-6132,https://www.metrohm.com/content/dam/metrohm/shared/documents/manuals/89/89308001EN.pdf,Metrohm IC - Eluent Preparation,930 Compact IC Flex Manual,Metrohm,Metrohm,Metrohm products subdomain has a certificate hostname mismatch; replaced with the official Metrohm 930 Compact IC Flex manual PDF path.
KB-PHASE4-0560,BET比表面分析液氮低温冻伤预防,https://www.ugent.be/beton/en/documentation/bead/bet-instrumentation,https://micromeritics.com/resources/liquid-nitrogen-level-when-using-isothermal-jackets/,BET Surface Area Analysis Safety,Liquid Nitrogen Level When Using Isothermal Jackets,Ghent University,Micromeritics,Ghent BET instrumentation page returned HTTP 404; replaced with Micromeritics gas sorption liquid-nitrogen safety guidance.
KB-PHASE4-0561,BET液氮填充杜瓦瓶窒息与冷凝安全,https://www.ugent.be/beton/en/documentation/bead/bet-instrumentation,https://micromeritics.com/resources/liquid-nitrogen-level-when-using-isothermal-jackets/,BET Instrumentation - Liquid Nitrogen Handling,Liquid Nitrogen Level When Using Isothermal Jackets,Ghent University,Micromeritics,Ghent BET instrumentation page returned HTTP 404; replaced with Micromeritics gas sorption liquid-nitrogen safety guidance.
KB-PHASE4-0563,Thermo Sorvall台式离心机不平衡与机械安全,https://www.thermofisher.com/us/en/home/about-us/sustainability/safety.html,https://documents.thermofisher.com/TFS-Assets/LED/manuals/50155784-c-Thermo%20Scientific%20Sorvall%20ST%2016R-en.pdf,Lab Safety Centrifuge Safety Checklist,Thermo Scientific Sorvall ST 16R Operating Manual,Thermo Fisher Scientific,Thermo Fisher Scientific,Dead Thermo Fisher generic safety page replaced with an official Thermo Scientific centrifuge operating manual.
KB-PHASE4-0565,离心机生物样品气溶胶泄漏防护,https://www.eppendorf.com/product-support/centrifugation/,https://www.eppendorf.com/ae-en/lab-academy/life-science/cell-biology/how-to-clean-a-centrifuge-maintenance-tips/,Eppendorf Centrifuge Safety Guidelines,How to clean a centrifuge: maintenance tips,Eppendorf,Eppendorf,Replaced dead Eppendorf centrifugation support landing page with current Eppendorf centrifuge maintenance guidance.
KB-PHASE4-0566,Tuttnauer高压灭菌器超压与蒸汽烫伤安全,https://www.tuttnauer.com/autoclave-troubleshooting,https://tuttnauer.com/us/support/faq-office-products,Tuttnauer Autoclave Safety Operation,Tuttnauer Autoclave Safety Operation,Tuttnauer,Tuttnauer,Tuttnauer troubleshooting page moved to the official support FAQ.
KB-PHASE4-0567,高压灭菌器日常安全检查与维护,https://www.tuttnauer.com/autoclave-maintenance,https://tuttnauer.com/sites/default/files/2021-10/Manual-Autoclaves-Cleaning_Weekly.pdf,Tuttnauer Autoclave Maintenance Guide,Tuttnauer Autoclave Maintenance Guide,Tuttnauer,Tuttnauer,Tuttnauer maintenance page moved; official weekly cleaning PDF preserves maintenance instructions.
KB-PHASE4-0586,Harvard大学化学卫生计划核心要素,https://hcbi.fas.harvard.edu/sites/projects.iq.harvard.edu/files/hcbidoug/files/chemical_hygiene_plan.pdf,https://research.harvard.edu/research-policies-compliance/lab-safety/,Harvard University Chemical Hygiene Plan,Lab Safety,Harvard University,Harvard University Office of the Vice Provost for Research,Harvard chemical hygiene plan PDF URL returned HTTP 404; replaced with Harvard Research lab safety page that links current lab safety policies.
KB-PHASE4-0614,GHS象形图与相关危险类别对应表,http://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.1200,OSHA Hazard Communication Standard Pictograms,OSHA Hazard Communication Standard Pictograms,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0623,工作场所标签的灵活性规定,http://www.osha.gov/laws-regs/standardinterpretations/2015-09-03-0,https://www.osha.gov/laws-regs/standardinterpretations/2015-09-03-0,OSHA Interpretation - Labeling of Secondary Containers,OSHA Interpretation - Labeling of Secondary Containers,OSHA,OSHA,OSHA canonical HTTPS URL.
KB-PHASE4-0631,实验室独立工作(Working Alone)政策,https://ehs.cornell.edu/research-safety/general-laboratory-safety/laboratory-safety-manual/chapter-4-administrative-controls/47,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-4-administrative-controls/47,Cornell EHS - Working Alone Guidelines,Cornell EHS - Working Alone Guidelines,Cornell University EHS,Cornell University EHS,Cornell EHS Working Alone chapter is under Chemical Safety Laboratory Safety Manual.
KB-PHASE4-0713,化学废弃物实验室包装和安全标识要求,https://ehs.cornell.edu/research-safety/chemical-safety/chemical-waste,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-10-hazardous-chemical-waste,Cornell EHS - Chemical Waste Management,Cornell EHS - Chemical Waste Management,Cornell University EHS,Cornell University EHS,Cornell EHS chemical waste page moved to Laboratory Safety Manual Chapter 10.
KB-PHASE4-0726,危险废物容器管理技术规范,https://www.epa.gov/hw/hazardous-waste-container-management-requirements,https://iwaste.epa.gov/rpts/handbk4.pdf,Hazardous Waste Containers,Hazardous Waste Containers,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,EPA hazardous waste container management page returned HTTP 404; replaced with EPA's Hazardous Waste Containers handbook PDF.
KB-PHASE4-0732,纳米材料废物管理的法规判定口径,https://www.epa.gov/chemical-safety/nanotechnology-research-and-applications,https://www.epa.gov/reviewing-new-chemicals-under-toxic-substances-control-act-tsca/control-nanoscale-materials-under,Nanotechnology and Hazardous Waste Management,Control of Nanoscale Materials under the Toxic Substances Control Act,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,EPA nanotechnology research page returned HTTP 404; replaced with EPA's current nanoscale materials TSCA control page and narrowed the answer to supported regulatory framing.
KB-PHASE4-0747,电子废弃物(e-Manifest)追踪系统,https://www.epa.gov/hw/hazardous-waste-manifest-system,https://www.epa.gov/hwgenerators/hazardous-waste-manifest-system,Hazardous Waste Manifest System,Hazardous Waste Manifest System,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency,EPA hazardous waste manifest page moved under the Hazardous Waste Generators section.
KB-PHASE4-0751,危险废物燃烧处置的合规限制,https://www.epa.gov/hw/hazardous-waste-combustion,https://archive.epa.gov/epawaste/hazard/tsd/td/web/html/combustion.html,Hazardous Waste Combustion,Combustion - Hazardous Waste,U.S. Environmental Protection Agency,U.S. Environmental Protection Agency Archive,EPA hazardous waste combustion page returned HTTP 404; replaced with EPA's archived hazardous waste combustion overview and narrowed the answer to permitted combustion controls.
KB-PHASE4-0793,GB 19489实验室生物安全通用要求,https://std.samr.gov.cn/gb/search/gbDetailed?id=8B5B30B7D7D9A755E040A8C59307480E,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=EB3B94B543F6E4CD18C044DE6AB64CEC,GB 19489-2008,GB 19489-2008 实验室生物安全通用要求,中国国家标准化管理委员会,国家标准全文公开系统,Replaced obsolete standard detail ID with the official national standard full-text disclosure page.
KB-PHASE4-0794,GB/T 27476检测实验室安全,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7B5E4D4E7E040A8C593074662,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=6C80C3CF343258529DA8841981A036D1,GB/T 27476.1-2014,GB/T 27476.1-2014 检测实验室安全 第1部分：总则,中国国家标准化管理委员会,国家标准全文公开系统,Replaced obsolete standard detail ID with the official national standard full-text disclosure page.
KB-PHASE4-0795,GB/T 27476.5检测实验室化学品安全,https://std.samr.gov.cn/gb/search/gbDetailed?id=71F772D7B5E5D4E7E040A8C593074662,https://openstd.samr.gov.cn/bzgk/std/newGbInfo?hcno=8BFEEBBE490CBAC79543F0DAD96F2E2E,GB/T 27476.5-2014,GB/T 27476.5-2014 检测实验室安全 第5部分：化学因素,中国国家标准化管理委员会,国家标准全文公开系统,Replaced obsolete standard detail ID with the official national standard full-text disclosure page.
KB-EQUIP2-0012,实验室烘箱(Oven)安全使用规范,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/166-heat-and-heating-devices,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/166-heat-and,Cornell Laboratory Safety Manual Ch.16.6 Heat and Heating Devices,Cornell Laboratory Safety Manual Ch.16.6 Heat and Heating Devices,"Cornell University Environment, Health and Safety","Cornell University Environment, Health and Safety",Cornell EHS 16.6 Heat and Heating Devices slug changed.
KB-EQUIP2-0013,马弗炉(Muffle Furnace)高温安全操作,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/166-heat-and-heating-devices,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/166-heat-and,Cornell Laboratory Safety Manual Ch.16.6 Heat and Heating Devices,Cornell Laboratory Safety Manual Ch.16.6 Heat and Heating Devices,"Cornell University Environment, Health and Safety","Cornell University Environment, Health and Safety",Cornell EHS 16.6 Heat and Heating Devices slug changed.
KB-EQUIP2-0014,实验室水浴锅(Water Bath)安全使用,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/166-heat-and-heating-devices,https://ehs.cornell.edu/research-safety/chemical-safety/laboratory-safety-manual/chapter-16-physical-hazards/166-heat-and,Cornell Laboratory Safety Manual Ch.16.6 Heat and Heating Devices,Cornell Laboratory Safety Manual Ch.16.6 Heat and Heating Devices,"Cornell University Environment, Health and Safety","Cornell University Environment, Health and Safety",Cornell EHS 16.6 Heat and Heating Devices slug changed.
